EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5694029,TARRANT CO.,NORTH RICHLAND HILLS,05/17/1999,1108,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,NORTH RICHLAND HILLS,05/17/1999,1108,32.83,-97.25,32.83,-97.25,"","",11
5694030,TARRANT CO.,HALTOM CITY,05/17/1999,1111,Hail,1.75, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,HALTOM CITY,05/17/1999,1111,32.8,-97.27,32.8,-97.27,"","",12
5694031,TARRANT CO.,EULESS,05/17/1999,1139,Hail,1.50, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,EULESS,05/17/1999,1139,32.83,-97.08,32.83,-97.08,"","",13
5694498,TARRANT CO.,GRAPEVINE,05/28/1999,1447,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,LAW ENFORCEMENT, , , , , , , ,GRAPEVINE,05/28/1999,1447,32.93,-97.08,32.93,-97.08,"Hail was reported just west of D/FW Airport.","",14
5716629,TARRANT CO.,FOREST HILL,09/25/1999,1910,Hail,1.00, ,0,0,0,0,TX,CST, ,2413548,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,FOREST HILL,09/25/1999,1910,32.67,-97.02,32.67,-97.02,"","",15
5716631,TARRANT CO.,CROWLEY,09/25/1999,1946,Hail,2.00, ,0,0,0,0,TX,CST, ,2413548,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,CROWLEY,09/25/1999,1948,32.58,-97.32,32.58,-97.32,"","",16
5129649,TARRANT CO.,FT WORTH,02/25/2000,2250,Hail,1.00, ,0,0,0,0,TX,CST, ,1090454,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,FT WORTH,02/25/2000,2250, , , , ,"Occurred 2 miles east of downtown Fort Worth.","",17
5139919,TARRANT CO.,BLUE MOUND,03/02/2000,1741,Hail,1.00, ,0,0,0,0,TX,CST, ,1092879,C,439,FWD,0,0,STORM CHASER, , , , , , , ,BLUE MOUND,03/02/2000,1741,32.88333,-97.36667,32.88333,-97.36667,"","

				March 2, 2000 - Event Narrative

Thunderstorms developed in west Texas overnight March 1-2, affecting Stephens county during the early morning hours, decreasing before sunrise. Storms redeveloped over north central Texas during the early afternoon March 2, moving east northeast across the area. At least four storms developed in sequence, each a little south of the previous one, and each with a little longer track.

The first storm developed over southwest Jack county shortly before 1400 CST, decreasing near Bridgeport shortly after 1500 CST. A second storm developed near Possum Kingdom Reservoir (northwest Palo Pinto county around 1440 CST, moving across southern Jack county to near Decatur around 1550 CST, and decreasing over northwest Denton county shortly after 1600 CST. A third storm developed west of Mineral Wells (Palo Pinto county) shortly after 1500 CST, moving across northern Parker, southeast Wise, and southern Denton counties before decreasing over northwest Collin county shortly around 1800 CST. A fourth storm developed near Mineral Wells around 1630 CST, moving parallel and just a little south of the third storm, but continuing over northern Hunt county, and decreasing over Delta county around 2000 CST. Several short lived storms developed around or after 2000 CST elsewhere south of the previous storms, generally dissipating by 2200 CST.",18
5139920,TARRANT CO.,HASLET,03/02/2000,1742,Hail,1.00, ,0,0,0,0,TX,CST, ,1092879,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,HASLET,03/02/2000,1742,32.96667,-97.35,32.96667,-97.35,"","

				March 2, 2000 - Event Narrative

Thunderstorms developed in west Texas overnight March 1-2, affecting Stephens county during the early morning hours, decreasing before sunrise. Storms redeveloped over north central Texas during the early afternoon March 2, moving east northeast across the area. At least four storms developed in sequence, each a little south of the previous one, and each with a little longer track.

The first storm developed over southwest Jack county shortly before 1400 CST, decreasing near Bridgeport shortly after 1500 CST. A second storm developed near Possum Kingdom Reservoir (northwest Palo Pinto county around 1440 CST, moving across southern Jack county to near Decatur around 1550 CST, and decreasing over northwest Denton county shortly after 1600 CST. A third storm developed west of Mineral Wells (Palo Pinto county) shortly after 1500 CST, moving across northern Parker, southeast Wise, and southern Denton counties before decreasing over northwest Collin county shortly around 1800 CST. A fourth storm developed near Mineral Wells around 1630 CST, moving parallel and just a little south of the third storm, but continuing over northern Hunt county, and decreasing over Delta county around 2000 CST. Several short lived storms developed around or after 2000 CST elsewhere south of the previous storms, generally dissipating by 2200 CST.",19
5139921,TARRANT CO.,KELLER,03/02/2000,1748,Hail,1.00, ,0,0,0,0,TX,CST, ,1092879,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,KELLER,03/02/2000,1748,32.93333,-97.25,32.93333,-97.25,"","

				March 2, 2000 - Event Narrative

Thunderstorms developed in west Texas overnight March 1-2, affecting Stephens county during the early morning hours, decreasing before sunrise. Storms redeveloped over north central Texas during the early afternoon March 2, moving east northeast across the area. At least four storms developed in sequence, each a little south of the previous one, and each with a little longer track.

The first storm developed over southwest Jack county shortly before 1400 CST, decreasing near Bridgeport shortly after 1500 CST. A second storm developed near Possum Kingdom Reservoir (northwest Palo Pinto county around 1440 CST, moving across southern Jack county to near Decatur around 1550 CST, and decreasing over northwest Denton county shortly after 1600 CST. A third storm developed west of Mineral Wells (Palo Pinto county) shortly after 1500 CST, moving across northern Parker, southeast Wise, and southern Denton counties before decreasing over northwest Collin county shortly around 1800 CST. A fourth storm developed near Mineral Wells around 1630 CST, moving parallel and just a little south of the third storm, but continuing over northern Hunt county, and decreasing over Delta county around 2000 CST. Several short lived storms developed around or after 2000 CST elsewhere south of the previous storms, generally dissipating by 2200 CST.",20
5139989,TARRANT CO.,KELLER,03/02/2000,1753,Hail,1.75, ,0,0,0,0,TX,CST, ,1092879,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,KELLER,03/02/2000,1753,32.93333,-97.25,32.93333,-97.25,"","

				March 2, 2000 - Event Narrative

Thunderstorms developed in west Texas overnight March 1-2, affecting Stephens county during the early morning hours, decreasing before sunrise. Storms redeveloped over north central Texas during the early afternoon March 2, moving east northeast across the area. At least four storms developed in sequence, each a little south of the previous one, and each with a little longer track.

The first storm developed over southwest Jack county shortly before 1400 CST, decreasing near Bridgeport shortly after 1500 CST. A second storm developed near Possum Kingdom Reservoir (northwest Palo Pinto county around 1440 CST, moving across southern Jack county to near Decatur around 1550 CST, and decreasing over northwest Denton county shortly after 1600 CST. A third storm developed west of Mineral Wells (Palo Pinto county) shortly after 1500 CST, moving across northern Parker, southeast Wise, and southern Denton counties before decreasing over northwest Collin county shortly around 1800 CST. A fourth storm developed near Mineral Wells around 1630 CST, moving parallel and just a little south of the third storm, but continuing over northern Hunt county, and decreasing over Delta county around 2000 CST. Several short lived storms developed around or after 2000 CST elsewhere south of the previous storms, generally dissipating by 2200 CST.",21
5137398,TARRANT CO.,FT WORTH,03/28/2000,1746,Hail,1.00, ,0,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,TRAINED SPOTTER, , , ,10,NW,10,NW,FT WORTH,03/28/2000,1746,32.85,-97.46667,32.85,-97.46667,"Occurred at Lakeside.","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",22
5137399,TARRANT CO.,FT WORTH,03/28/2000,1755,Hail,1.75, ,0,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,TRAINED SPOTTER, , , ,10,NW,10,NW,FT WORTH,03/28/2000,1755,32.85,-97.46667,32.85,-97.46667,"Occurred at Lakeside.","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",23
5137400,TARRANT CO.,FT WORTH,03/28/2000,1805,Hail,1.75, ,0,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,TRAINED SPOTTER, , , ,1,W,1,W,FT WORTH,03/28/2000,1805,32.75,-97.36667,32.75,-97.36667,"","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",24
5137402,TARRANT CO.,FT WORTH,03/28/2000,1805,Hail,1.00, ,0,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,FT WORTH,03/28/2000,1805,32.75,-97.35,32.75,-97.35,"Occurred in north Ft. Worth.","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",25
5137401,TARRANT CO.,SAGINAW,03/28/2000,1805,Hail,1.75, ,0,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,SAGINAW,03/28/2000,1805,32.86667,-97.36667,32.86667,-97.36667,"","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",26
5137403,TARRANT CO.,SAGINAW,03/28/2000,1809,Hail,3.50, ,0,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,TRAINED SPOTTER, , , ,1,S,1,S,SAGINAW,03/28/2000,1809,32.85,-97.36667,32.85,-97.36667,"","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",27
5137404,TARRANT CO.,LAKE WORTH VLG,03/28/2000,1812,Hail,3.50, ,1,0,0,0,TX,CST, ,1092888,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,LAKE WORTH VLG,03/28/2000,1812,32.8,-97.4,32.8,-97.4,"Male (age 19) struck by softball size hail at Lake Worth while trying to move new car. Died following day (29th) from associated head injuries.","

				Tarrant County Thunderstorm Narrative
				

The first tornado damage was reported near Castleberry High School, about four miles west of downtown Fort Worth (618 PM). Additional roof and tree damage occurred in Monticello neighborhood of River Oaks. A number of businesses were then damaged or destroyed near the intersection of Camp Bowie and West Seventh (620 PM). Tornado moved east along West Seventh Street, striking the Montgomery Ward building and the adjacent Linwood neighborhood, doing extensive damage to older homes (622 PM). The tornado then did extensive damage to the six story Cash America building, nearly destroying it. Further significant damage was then done to the Mallick Tower building and Calvary Cathedral Building (624 PM). The tornado weakened as it entered downtown, but wind borne debris broke thousands of windows in buildings and high rises (626 PM). Particularly hard hit was the Bank One Building, which had 80% (3,000) of its windows broken, and the Union Pacific Resources Building (1,300 of 5,000 windows broken). Numerous other structures were affected to a lesser degree. Automobiles in streets and parking lots were also damaged. The tornado then dissipated as it moved east of downtown, although scattered minor damage occurred to roofs, trees, fences, and billboards about 3 miles east of the city near I-30 and Brentwood Stair. 

	Two people were killed as a direct result of the tornado. A man (age 52) was killed while trying to reach shelter after warning others of the tornado, while a homeless man (age 67) was killed by a wall that collapsed on him. Some 80 other people were injured, but only six required hospitalization. Hail did extensive damage to roofs and autos mainly in Lake Worth and Saginaw. 

	Initial tornado damage in Arlington occurred at a restaurant on South Cooper street. The tornado moved east and gained strength, doing F3 damage near Bardin and Matlock (707 PM), south of I-20. The tornado then struck the northern part of Arlington Airport (F2). The tornado paralled I-20, crossing the Interstate about one mile west of Highway 360, overturning at least one 18-wheeler (F1)(712 PM). The tornado then began moving northeast, ending with F2 damage to subdivision just northeast of Grand Prairie airport (near Arkansas and Parkside)(720 PM). In spite of the damage, there were no deaths or serious injuries in Arlington or Grand Prairie.

	One commercial building was destroyed in Arlington, and 22 others damaged. Residential building damage (Tarrant county) was as follows:

	Location          Destroyed          Major Damage          Minor Damage
	Azle                 0                     0                              13 (hail)
	Lake Worth     0                       0                              118 (hail)
	River Oaks      0                      3                              51
	Fort Worth      28                    48                            136
	Arlington          67                   146                          458
	Grand Prairie  6                      9                              32
	Total               101                  206                          808",28
